CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-86771,COSTA RICA,N,0.0,Operante,Automatica,-18.49277777,0-76-0-5003256000000490,7,727.34,MS,A760,-53.17138888,2012-12-03
0-2000-0-81975,COTRIGUACU,N,0.0,Operante,Automatica,-9.90638888,0-76-0-5103379000000199,9,265.0,MT,A919,-58.57222221,2007-05-27
0-2000-0-86770,COXIM,N,0.0,Operante,Automatica,-18.51222222,0-76-0-5003306000000136,7,251.48,MS,A720,-54.7361111,2006-11-05
0-2000-0-81830,CRATEUS,N,0.0,Operante,Automatica,-5.18666666,0-76-0-2304103000000439,3,298.19,CE,A342,-40.67222221,2008-12-10
0-2000-0-86737,CRISTALINA,N,0.0,Operante,Automatica,-16.78499999,0-76-0-5206206000000280,10,1211.08,GO,A036,-47.61305555,2007-12-13
0-2000-0-86727,CRISTALINA (FAZENDA SANTA MONICA),N,0.0,Operante,Automatica,-16.39944444,0-76-0-5206206000000570,10,932.0,GO,A056,-47.62583332,2018-01-24
0-2000-0-86962,CRUZ ALTA,N,0.0,Operante,Automatica,-28.60344,0-76-0-4306106000000203,8,426.69,RS,A853,-53.673597,2007-05-30
0-2000-0-86657,CRUZ DAS ALMAS,N,0.0,Operante,Automatica,-12.67555554,0-76-0-2909802000000041,4,219.76,BA,A406,-39.08944444,2003-01-18
0-2000-0-81881,CRUZEIRO DO SUL,N,0.0,Operante,Automatica,-7.61055555,0-76-0-1200203000000498,1,220.0,AC,A108,-72.6811111,2015-05-13
0-2000-0-86705,CUIABA,N,0.0,Operante,Automatica,-15.559295,0-76-0-5108402000000028,9,241.56,MT,A901,-56.062951,2002-12-07
0-2000-0-81984,CURACA,N,0.0,Operante,Automatica,-9.00138888,0-76-0-2909901000000503,4,370.0,BA,A448,-39.9125,2015-08-19
0-2000-0-86933,CURITIBA,N,0.0,Operante,Automatica,-25.4486111,0-76-0-4106902000000046,8,922.91,PR,A807,-49.23055554,2003-01-27
0-2000-0-86956,CURITIBANOS,N,0.0,Operante,Automatica,-27.2886111,0-76-0-4204806000000296,8,978.1,SC,A860,-50.60416666,2008-02-27
0-2000-0-86780,CURVELO,N,0.0,Operante,Automatica,-18.747711,0-76-0-3120904000000158,5,669.48,MG,A538,-44.453785,2006-12-17
0-2000-0-86610,DELFINO,N,0.0,Operante,Automatica,-10.455,0-76-0-2932457000000401,4,646.24,BA,A443,-41.20694444,2008-07-14
0-2000-0-86861,DIAMANTE DO NORTE,N,0.0,Operante,Automatica,-22.63944444,0-76-0-4107108000000306,8,368.22,PR,A849,-52.89027777,2008-03-05
0-2000-0-86781,DIAMANTINA,N,0.0,Operante,Automatica,-18.231052,0-76-0-3121605000000209,5,1359.25,MG,A537,-43.648269,2007-06-04
0-2000-0-86632,DIANOPOLIS,N,0.0,Operante,Automatica,-11.59444444,0-76-0-1707009000000417,10,727.87,TO,A038,-46.84722221,2008-08-29
0-2000-0-86936,DIONISIO CERQUEIRA,N,0.0,Operante,Automatica,-26.286562,0-76-0-4205001000000372,8,807.54,SC,A848,-53.633114,2008-05-30
0-2000-0-84821,DIVINOPOLIS,N,0.0,Operante,Automatica,-20.17333332,0-76-0-3122306000000565,5,796.0,MG,A564,-44.87499999,2017-10-25
0-2000-0-86927,DOIS VIZINHOS,N,0.0,Operante,Automatica,-25.69916666,0-76-0-4107207000000178,8,545.95,PR,A843,-53.09527777,2007-03-28
